순번,질문,답변
741,?어릴 때부터?부모님이나 선생님 누군가 저에게 이래라저래라 간섭하고?잔소리하는 게?너무?듣기 싫었어요. 저는 맞벌이하는 부모님 밑에서?늘 혼자였거든요. 어디 물어볼 데도?없이?모든 걸?저 혼자?해왔어요. 그런 저에게?정작 필요할 땐?아무도?안 도와줬으면서?이제 와서?죽지 못해?살아온 저에게 참견을?하는 게?너무?화가 납니다. 제가 힘들 땐?공감은커녕 놀러만 다녀놓고?이제 와서?제가 잘못됐다고?얘기하는 게?너무?듣기 싫습니다.어찌 보면?여기에 글을?올리는 것도?조언을 구하고자?하는 거지만..?그냥 저에게 아무 관심도?안 가졌으면?좋겠어요. 저는?지금 이대로도?너무 힘든데?자꾸?더 나은?사람이?돼야 한다고?말하면 저보고?죽으란 건가요? 벼랑 끝에서?겨우 매달려있는 사람에게?손을 잡아주기는커녕?네가?잘못해서?떨어진 거라고?얘기하는 것만?같아요. 저는 이렇게?살고 있는 것만으로도?너무 힘드네요.저는 누구를 위해?살아야 하나요? 제자신은?늘 뒷전이고?남에게?맞춰 살아왔지만?아무도 저를 인정해주는 사람은 없고 조종하려는 인간들 뿐이에요. 그냥?너나 잘하라고?얘기해주고 싶어요. 니 인생이나?똑바로 살라고...?사진_픽셀?,http://www.psychiatricnews.net//news/articleView.html?idxno=15970
742,?저희 딸이 사회초년생으로 직장생활을 시작했는데 너무 힘들어하고 있어요. 성격이 원래 내성적이고 불안. 초조. 걱정을 항상 달고 다니는 편이었습니다. 시작단계에서는 같은 또래가 없어 힘들어하고. 지나서는 직장이라는 조직에 두려워하고 거부감이 있습니다. 그리고 업무량이 너무 많고 차근차근 가르쳐주는 멘토가 없어 완벽주의 성격에 더 괴로워하고 있어요. 잠도 제대로 못 자고 먹는 것도 편하게 할 수 없을 만큼 일에 치여 있습니다.좋은 쪽으로 생각하고 이겨내야 하는데 자꾸만 절망적인 말만 하고 못 버티겠다고 합니다. 수많은 경쟁에서 이겨 이 자리까지 왔는데 사표를 내고 다시 공부할까 고민도 많이 하더라고요. 결단도 지금 못 내리고 사육장에 끌려가는 것처럼 출근합니다. 아이 성격이 문제도 있지만 이 직업이 적성에 안 맞는지 분간이 안되네요.격려와 조언도 아이 귀에는 전혀 들어오지 않습니다. 다시 공부하면 힘들 것이고 우울감에 빠질 건데 이러지도 저러지도 못하고 너무 힘듭니다. 정신과에서 일단 신경안정제 어제 처방받았는데 이럴 땐 어떡하죠?그래도 마음이 좀 안정돼야 다시 공부를 하든 이 직업을 계속하든 할 건데 워낙 성격이 외골수고 남에게 싫은 소리도 못하고 너무 여리고 약하답니다. 조언 부탁드립니다. 선생님.?사진_픽셀?,http://www.psychiatricnews.net//news/articleView.html?idxno=15952
743,?안녕하세요. 저는 40대 미혼 여성으로 어머니와 함께 살고 있습니다. 아버지는 지병으로 돌아가셨고. 동생은 같이 살다가 일 때문에 독립해서 나가 살고 있어요.전 원래 결혼하고 싶은 생각이 없다가 30대 후반부터 결혼을 해야겠다는 생각이 들어서 나름 개인적인 노력을 해왔고. 2년 가까이 교제한?남자 친구와?만나 결혼을 약속하게 되었습니다. 그런데 엄마가 결혼을 너무 반대하세요.표면적인 이유는 결혼할 남자가 돈이 없고 (모아둔 돈은 많이 없지만 성실하게 안정적인 직장생활을 하고 있습니다)?남자 친구?부모님을 경제적으로 부양해야?한다는 게?이유이긴 한데. 물론 딸 가진 부모로서 재정문제로 반대하는 이유는 이해가 가지만 그래도 나이가 많아 이제 결혼할 기회가 없을지도 모르는 딸의 결혼을 무조건 반대하는 것은 이해가 가지 않습니다.예를 들어. 엄마는 그 남자가 왜 너처럼 나이 많은 여자를 좋아하겠냐. 뭔가 속셈이 있는 것이다. 너를 이용하고 있는 것이다.?너는 결혼하면 곧 이혼할 것이다.?엄마랑 같이 이 집에서 여유롭게 살면 되지 그렇게 힘든 결혼을 왜 하려고 하느냐.. 등등?이성적이고 합리적인 이유가 아닌.?제가 보기엔?말도?안 되는?감정적인 이유로 수개월째 반대하고 있습니다.난 성인이고 내 인생을 살아야겠기에 결혼식장을 잡고 통보했더니 부모가 반대하면 결혼을 할 수 없다고 하고. 그쪽 집안이 이상하다면서 법적으로 알아보겠다는 둥?극도로 불안하고 비이성적인 태도를 보이십니다.?엄마는 주변에 인간관계가 전혀 없고 아버지 돌아가신 이후로는 우울증세도 있으신 것 같아요. 나이 들고?아프다는 이유로 저랑 동생에게 전적으로 의지하고 본인이 알아서 하는 것은 거의 없으십니다. 그리고 특별한 이유가 없이?온몸이?안 아프신 데가?없으세요.그리고 저와 동생에게 집착이 심해서 우리의 일거수일투족을 알려고 하고?시도 때도?없이 전화를 하거나 우리의 상황과 상관없이 자신이?원하는 대로?해주시길 원하십니다. 그런 상황에서 제가 결혼을 하려는 것이 엄마에겐 큰 공포와 두려움인 것 같아요. 자녀들 뿐 아니라 부모들도 분리불안이 있다고 들었습니다.?아무리 이성적으로 설득해보려고 해도 엄마는 있는 그대로의 사실을?받아들이기보다는?상당히 왜곡되게?받아들이고 일어나지도?않은 일에 대한 불안과 걱정으로 대화가 잘 통하지 않습니다.주변에서는 엄마는 변하기?어려울 테니?일단 너는 너의 삶을 살아야 한다고 조언을 해주시긴 하는데. 지금의 상황이 너무 괴롭고 (엄마랑?대화하는 게?너무 힘들고 저에게도 계속 상처가 되어 말을 아예?안 하고?지내고 있습니다) 엄마의 상황도 참 안타까워서 제가 어떻게 하는 것이 가장 좋은 방법인지 알고 싶네요.그리고 한편으로는 엄마가 정말 독한?마음먹고?결혼을 방해하려는 것 같아 불안합니다. 그리고 결혼해서도?엄마 같은?엄마가?될까 봐?두려워요...?사진_픽셀?,http://www.psychiatricnews.net//news/articleView.html?idxno=15921
744,?최근 감정의 복받침이 굉장히 심해져서 이곳에 문의를 드립니다. 예전에는 드라마나 영화를?볼 때?슬픈 장면이 나와도 눈물을 많이 흘리지 않았는데. 요즘은 정말?울 상황이 아닌데도 눈물이 뚝뚝?떨어져요. 영화나 드라마의 내용에 집중해서 빠져있으면 당연히 슬픈 상황에서도 눈물이?나는 건?누구나?그럴 텐데. 저는 요즘 그냥?왔다 갔다 하면서?보는?TV?화면에?누가?울고 있으면?저도 갑자기 슬퍼지면서 눈물이 납니다.최근에?할머니가 몸이?안 좋아지셔서?병원에 입원하셨는데...?저는?어렸을 때부터?할머니를 자주?뵙지 않았고?유대감이 크게?있지 않은데?병원에 병문안 갔다가 눈물이 너무 나서 정말 너무 당황스러웠어요. 지금 당장?돌아가시는 것도?아닌데. 혼자 눈물이 막 나니까 민망하더라고요. 오히려 제가 많이?우는 게?할머니와 가족들에게 피해가?되는 거?같고... 가까운 병원에 계셔서 맘만 먹으면?찾아 뵐 수 있는데?자주 찾아뵙고 싶어도 가면 또 우니까 그게 죄송해서 더?못 가고 있어요.지금도 이 글을 쓰는데 갑자기 확 감정이 올라오면서 눈물이 나네요.. 눈물이 막 뚝뚝?떨어져요. 노래를 듣다가?한 소절?따라 하다가도?갑자기 감정이 올라와 울고요..일상생활이 좀?힘들 정도로?눈물이 많아져서 너무나 걱정입니다. 울고 난 다음에 속이 후련해지는 것도 없어요..?정신과 약을 먹으면 좀 이런 감정이 확?올라오는 게?나아질까요? 어떻게 해야 감정을 잘?다스릴 수?있을까요??사진_픽셀?,http://www.psychiatricnews.net//news/articleView.html?idxno=15900
745,?안녕하세요. 저는 30대 직장인입니다.?제 고민을 말씀드릴까 해요.전 제목 그대로 저 자신이 마음에 무척 들지 않습니다. 몇몇 가지 그런 게 아니라. 모든 것들이 다요. 외모부터 옷 입는 것. 키. 몸무게. 살찐 것도 직업도. 정말 그냥 그래요. 30이 되었는데 집도 없고 차도 없고. 명품시계나 그런 것들은 사치라 생각해 돈을 버는 그대로 적금해서 돈을 모으고 살아도 모이는 돈은 없고. 돈 쓰는 씀씀이가 크게 나아지지 않아요. 말 그대로 정말 그냥 그래요. 인생이 그냥 모자란 그 자체인 거 같아요.딱히 사는 게 좋지가 않아요. 뭔가 크게 나아질 것 같지도 않고요. 돈도 제가 원하는 만큼 못 버는 것 같고. 제 딴에는 열심히 한다고 운동도?하려 하는데?다른 사람들을 따라가지 못하겠어요. 이미 출발이 한참 늦어버린 기분이랄까요. 마음만큼 계획한 만큼 잘 안됩니다. 최근에는 하고 싶은 일을 위한 돈을 모으려고 했는데 5월 가정의 달을 지나면서 돈이 뜻하지 않게 많이 나가. 나도 모르게 돈 계산을 하다가 혼자 폭발한 적도 있고요.제가 제 자신이 마음에 들 정도로 만족할만한 인생을 살고 싶은데.?죽을 때?후회 없이?행복한 인생을 살고 싶은데. 어디서부터 어떻게?손대야 할지?모르겠습니다.?늘 같은 문제에서 맴도는 것 같아요. 다른 사람들과 나를 비교하게 되면서요.?저는 어떻게 해야 할까요??도움이 필요합니다.?사진_픽셀?,http://www.psychiatricnews.net//news/articleView.html?idxno=15893
746,?안녕하세요. 대학원 다니고 있는 학생입니다. 최근 너무 사소한 일에도 짜증을 느끼는 일이 늘고 짜증이 나다 못해 눈물이 나고 가끔 속이 꽉 막히는 것 같이 화가 날 때가 많아졌습니다. 이런 기분 상태가 된 시발점이 올해 초에 가정 내 문제로 스트레스라?해야 할지.?혼자만의 마음의 상처라고?해야 할지.?아무튼 크게 영향을 받게 되었던?때쯤인?것 같습니다.어렸을 때부터 부모님의 사이가 좋지 않았다는 사실은 알고 있었지만 고등학교 때부터?타지 생활을?해왔던 터라?신경을 거의 쓰지 않고 살아왔었는데. 얼마 전 상황의 심각성을?알게 되어?울기도 많이 울고 그 사건 이후에 우울감이 높아서 혼자서 여행도 다녀오고 했었습니다. 물론 여행에서도?울컥?치밀어 오르는?서러움. 슬픔?등 때문에 눈물을 뿌리고 다녔네요..가족과는 그날 이후로 이사 관련해서?한두 통?전화한?것 이외에는 연락도 하지 않고 있습니다. 시간이 약이라고 시간이 지나면?괜찮아질?것 같았는데 그러기는커녕?마음?한편에?응어리가 진?것처럼?계속 남아 있습니다.?그런데 이게 문제가?되는 게?이?한편의?응어리 때문인지 뭔가 제가 계획했던 대로 안되거나 마음에?안 들거나?하면 짜증과 화가 치밀어 오르고.?조금만 쌓여도 눈물이 먼저 흘러서?주변 사람들을 당혹스럽게 만드는 일이 빈번하게 일어나고 있다는 점입니다. 게다가 와중에 무언가 마음에?안 들고?짜증이 나서 눈물이 나면 계속 하염없이 흐르는데 왜 때문인지 이유를 생각해보자면 또 정확한 이유가 없고 그래요...여기에 최근에 인간관계에 대한 회의감. 권태가 찾아와서 생각을?하다 보면?친구는?그렇다 쳐도?가족마저도 인생에?기쁨은커녕?문제만 일으키는 것 같은데 왜?살아야 하는 건가?하는?의문이 생겨 해소되지도 않고 있습니다. 이 질문에 답이 없는 것도 알고 이런 삶은 왜?살아야 하나?생각하면서도 대학원 공부나 연구는 별개로 열심히 하고?있는 게?알다가도 모르겠네요...가족. 인간관계 관련해서는 이런저런 이야기들이 많지만 이렇게 게시판에 글로 쓰려니 어디서부터 어떻게?써야 할지?감이 오지 않아서.. 아무튼 짜증내고 화나고 눈물이?시도 때도?없이 나는 것 때문에 불편한 점이 너무 많네요.게다가 최근엔 사람들과 사회적인 관계를 제외하고는 만나거나?놀러 간다거나?하고 싶지도?않고.. (만남이나?놀러 가는?빈도가 줄어들어 어색해져서 이렇게 된 것인지 인과관계는 잘 모르겠지만..) 그나마 사회적인 활동 속에 만나는 사람들과도 눈 마주치면서?이야기하는 게?쉽지 않네요..제가 원래 눈을?못 마주쳤던?사람이었던 건지?모르겠지만.. 그래도 외향적으로는 되게 활발한 이미지를 가지고 있는데 아직까지는?유지하는 게?쉽지가 않아요.....그만 살고 싶다가도 죽지 못해?사는 거지?하며 넘어가고?그러다 보면?대체 왜 태어나서 이렇게 고생을 하나 생각도 듭니다. 이게 단순히 제 마음가짐의 문제일까요. 혹은 치료의 도움을 받아 개선의 여지가 있는 부분일까요..?스트레스받는?부분들이랄까 고민이 되는 부분들이랄까 이야기하자면 정말 많지만..?서두없이?막?적다 보니?일목요연하게 적지는 못한 것 같습니다..그럼에도 조언 부탁드리겠습니다...?사진_픽셀?,http://www.psychiatricnews.net//news/articleView.html?idxno=15856
747,?안녕하세요. 제 오래된 고민을 여기서 나누고 싶어요.저는 항상?무시당하는 기분이 들어 속상할 때가 많습니다. 저는 원래 예민한 성격이라. 제가 싫은 건 남에게도 하고 싶지 않아서 대하는 행동이나 말투에 신경을 많이 쓰는 편입니다. 그래서 항상 연애를 할 때나 친구 관계에 있어서. 다정하고 세심한 성격이라는 평을 많이 듣습니다.하지만 상대방은 제가?신경 쓰는?것만큼 저를?신경 써주지?않고. 저를 부당하게 대할 때도 있습니다. 그게 나는 너무 억울하게 느껴지더라고요. 그때마다?저는 저를 무시한다는 생각이 들고. 그게 참을 수 없이 화가 나 며칠 밤을 그 순간을 곱씹으며 보냅니다.주변과 비교해서 딱히 제가 무시받을 만한 요소를?갖춘 것도?아니라. 스스로를 평가했을 때 평소 남이 나를 무시하나?하는 생각에 딱히 예민할 필요가 없는 상황입니다. 제가 다른 사람들에게. 저 사람이 날?무시하는 것?같다고 이야기하면 다들 당황하고 놀랍니다. 왜 그렇게 생각하냐고. 전혀 그런 의도로 보이지 않는 것 같다고 하더라고요. 그런데 저는 왜 자꾸 상대의 행동을 무시로 받아들이게 되는지 잘 모르겠어요. 어렸을 적 가정에서 부모님의 불화로 성격이 많이 어두워지면서 사회성을 갖추지 못했고. 그 결과로 교내 따돌림을 당한 적이 있는데 혹시 그 영향이 있는 것인지 궁금합니다.가끔 폭력적인 사람들을?티브이에서?보면. 항상 작은 일에도 크게 반응하며 '나를?무시하는 거야!'라고?외치는 것을?보았는데.. 저도 그런 사람과 같은?부류인 건지?두려울 때도 있어요.?대체 왜 제 마음속에서는 자꾸 '무시'라는 게 떠다닐까요..??사진_픽셀?,http://www.psychiatricnews.net//news/articleView.html?idxno=15811
748,?안녕하세요. 대학생인 저는 지금 중간고사 기간인데요.?살다 살다?뇌가 눈구멍으로 녹아내릴 것 같은 느낌이 들어서 이번에 글을 씁니다.저는 시험 보기 전 하루 전까지 아예 백지상태로 모든 과목을?내버려둡니다. 그때까지?유튜브나?게임이나 잡다한 커뮤니티 등을 사이클로 돌려가며 시간을 버립니다. 저는 제가?시간을 낭비한다는 것을 온몸으로 체감을 합니다. 고통스러워하고요. 자살까지도 생각합니다. (시도를 한 적은 없습니다만?6년 동안?생각만 해왔습니다.)지난 6년간의 우울증인지. 아니면 그런 우울증이?저 같은?사람이 모름지기 가져야 할 사고방식이라는 강박에 빠진 것인지는 몰라도. 결과적으로 군대도?갔다 왔는데?대인관계가 0명입니다. 가족도 멀어지고?있고요. 연애도 못해보았습니다.이야기가 많이 새죠? 저는 시험기간이 되면 제 주변의 모든 것들에 대해 이처럼 스트레스를 받고 공부하지 않는 스스로를 욕하면서도?그 스트레스를 잊고자 컴퓨터를 합니다. 그러다가 이제 시험이 만 하루 남으면. 저는 갑자기 사람이 달라지기라도?한 듯이?24시간을 초 단위로 나누어서 생활하는 양 변합니다.변한다는 건 시험 압박감에 눈이 돌아갔단 뜻이죠. 밥도 안 먹고 라면만 먹으면서 먹으면서도 책을 보면서 어떻게든 벼락을 제대로 칩니다. 제대로 친다는 의미는.?벼락치기를 순수하게?20시간 동안?한다는 의미입니다.아마 제가 중학교 때부터였을까. 수업시간 때 필기 열심히 하고 집에 와서?롤게임?12시간 하다가?시험 하루 남으면 그때서야 잠도 안 자고 벼락치기로 공부를 하는 습관이 있었습니다. 이게 중학교 때부터 유지되어 온 악습관입니다. 이런 제가 대학에 들어온 것도 감개무량하지만?이제는 좀 아닌?듯싶습니다 .시험의 결과가 어떻게 나오든 상관이 없이. 제가 이번에 시험을 연달아 치면서 근?4일 동안?잠을 몇 시간 잤는지 세지는 않았습니다만 10시간 이내로 잔 것 같습니다. 근데 이게 이렇게?되다 보니?눈이 막 돌아가고 진짜 탈력감에 눈감고 걸어가다가 잠깐 졸아서 저 스스로 깜짝 놀라기도 했습니다.진짜 이러다 죽지 못해?기어 다닐?것 같아서 잠을 잤더니 20시간을 쭉 잤습니다. 근데 그것도 고통스럽게 잤습니다. 시험기간 때 2~3시간 깔짝 자던 것이 습관이 되었는지?1시간. 2시간 연달아서 깨면서도 20시간을 잤습니다. 꿈도 무서운 것만 꾸고..가장 무서운 점은 그렇게 잠을 잤는데도. 한 새벽?2시~3시쯤에?잠?안 자고?불침번 서는 듯한 피로가 남아있다는 점이며.?시험이 아직도 연달아 남아있다는 점입니다.?제가 약간 가볍게 생동감을 붙여서 글을 적기는 했지만.?저한테 이건 농담이 아닌 문제입니다. 어디 강연이나. 장학재단 캠프나. 대인관계 약속이나 등등?그 모든 문제들에서 저는 똑같이 행동합니다. 예컨대?1시간 30분 지하철로 갈 거리라 하면. 정말 딱 1시간 30분에 가는 것을 전제로 하고 몸이 움직여집니다. 의식해서 일찍 가려고 해도 정작 나갈 때 보면 그 정도만 남아있습니다.? 그래서 제가 대인관계를 일부러 안 만들기도 한 점이 있습니다만. 이딴 정신머리가 군대에 가서도 안 고쳐질 정도면 저는 스스로 자해를 하지 않는 이상 못 깨우칠 것도 같습니다. ?더 큰 문제는. 이것이?가족도 마찬가지라는 점입니다. 제 가족 중 한 분은 영화 상영시간이 2시라고 하면. 2시 10분에 출발합니다. 적어도 2시까지는 메이크업을 하고. 옷은 무얼?입고하는?걸 준비하면서?지각하는 것이 자연스러운 것입니다. 그러한 경향성이 아기 등교 시간에도 영향을 미칠 수밖에 없었습니다.?저는 그 모습을 보면서 만일 제가 지금 이 정신머리로?운 좋게?잘 취업하고. 혹여나 상대자를 만나서 아기를 가져도.?안타깝게도. 그 아기 또한 제 인생을 그대로 답습하리란 것을 깨달았습니다.저한테 이건 정말 심각한 문제입니다. 작금의 저는 제 개인적인 우울증을 해결하고자 과거로부터 단서를 잡고 그 과거에 대한 매듭을 짓는다는 둥 아니면 약물치료를 하는 것이 낫다는 둥의 방안을 찾고자 했는데 그런 차원이 아님을 깨달았습니다. 저의?잘못된 시간관념이 먼저이고 우울증은 부차적입니다.혹자는 시간 계획표를 쓴다든지. 뭘 한다든지의 해결책을 제시하는데. 저는 그러한 계획을?야심 차게?정말 공들여서 만들어도. 절대로 그것이 저에게?진정으로 해야 할?것으로 여겨지지가 않습니다. 마치 다른 사람 계획표를 만들어준 느낌입니다.내심 저는 하루 만에 시험공부를 하는 능력을 가졌다는 이상한 자만심이라도 있는 양. 절실히?야심 차게?변하기를?마음먹는다?할지라도 며칠 지나면 제자리입니다. 이런 인지부조화의 극치를 달리는지라 고통스러울 정도입니다.?통상 보편적인 해결책으로 해결이 안 됩니다.. 8년 간 한?롤게임도?계정 삭제를?하고 모든 게임도 다 지운 채로 핸드폰도 알뜰폰?오천원?요금제로 쓰면서 생활비도 식비. 관리비. 전기세. 도시가스비 포함 기껏 해야?10만원을?쓰는데 도대체 저는 어째서 이렇게까지 시간 하나를 관리하질 못해서 이렇게 무너질까요?이 시간관념에 관련된 정신병이 있는지. 아니면 단순히 계획표를 적고 하루하루 해나갈 것을?해나간다든지의?통상 보편적인 해결을 제외한 극약처방이 있는지?알고 싶습니다.?사진_픽셀?,http://www.psychiatricnews.net//news/articleView.html?idxno=15803
749,?현재 고등학교 다니는 여학생의 엄마입니다.중고등학교?생활 때?친구관계가?너무?힘들고. 자존감이?낮은 아이였습니다. 왕따 당하기 싫어 내키지 않은 일에도 억지로 친구들과 어울리며 지냈습니다.그 당시에는?집에 학교생활이 힘들고 말을 하지 않아 가족들은 모르고 있다가.?고등학교 와서는?정말 힘들다고 저한테 도움을?청하더라고요.. 그래서?위클레스에서도?상담도 하고. 정신건강의학과도 방문을?하여. 우울증상이?있다며.?작년부터?렉사프로정 5mg 복용을 하였습니다. 서서히 좋아지고. 학교생활도 괜찮다고 해서 얼마 전까지?복용하다가. 복용을 중단한 상태입니다.지금 생각해보면??마음의 상처가?아문 게?아니고. 약효과를?본 거?같습니다. 복용 중단 후?금단현상도 1주일 정도 있었고.?그 후?1주일은 평온하게 학교생활은 하는가 싶더니?저번 주부터?우울감이?오는 거?같습니다.현재는 학교도?가기 싫고?대인기피증도?있는 거?같습니다. 무기력함과 마냥?혼자 있고?싶다고 하네요..약을 다시?복용해야겠지요?아이가 약에 의존하면 어쩌나... 극복하기 힘들면 어쩌나.. 저도 너무 불안합니다.평생을 약으로 버텨야 하나... 마음의 병을?치유할 수?있는 거죠?..?간절합니다..?사진_픽셀?,http://www.psychiatricnews.net//news/articleView.html?idxno=15771
750,?몇 년 전 직장 동료와 과음을 하고 다음날 점심때쯤 마비증세와 호흡곤란. 심계항진으로 응급실에 입원한 적이 있습니다.당시의 증상은 다음과 같습니다. 심계항진. 아주 빠르고 강한 맥박. 손발저림. 호흡곤란. 안면마비. 숨을 못 쉬고 죽을 것 같은 공포감을 느꼈습니다.이후로 술을 마시지 않고 있으며 음주를 하지 않으면 증상은 발생하지 않습니다.? 대신 고카페인 음료나 많이 흔들리는 비행기를 타거나(비행공포증) 소량의 음주를 했을 때 그 증상이 흔히 얘기하는 공황장애와 너무 흡사하여 질문드립니다.소량의 음주. 고카페인 음료 섭취 후 제 증상을 순서적으로 적어보겠습니다.1. 손발이 차가워지고 살짝 현기증이 난다.2. 심장박동이 빨라지고 맥박이 강하게 느껴진다. 심장이 쿵 떨어지는 느낌.3. 짧은 순간이지만 움직이면 증상이 더 심해질까 봐 움직이지 못하고 가만히 있는다.4. 말할 수 없는 공포감. 10분 이내로 사라집니다.?사진_픽셀?,http://www.psychiatricnews.net//news/articleView.html?idxno=15716
751,?60대 초반 환자이고.?조현정동장애?소견으로?3차병원에서도?조현병이 의심되며?폐쇄병동입원치료를?권유받았습니다. 환자는 병식이 없고 자기는 괜찮다며?부정하고 있습니다. 환자는 중얼거림 외에는?생활하는 데에?전혀 지장이 없으며?폭력적인 성향이나?우울감 및?자해시도가?전혀 없어 보입니다.폐쇄병동에?입원시?환자본인보다?심각한 증상을?보이는 다른 환자들을 보고?쇼크 받거나?자존심이?센?성격에?가슴에?상처로 남아 치료에?부정적인 영향이?있을까 걱정이 됩니다. 강제입원?폐쇄병동입원시?환자가 100프로 다 낫는다면 모르겠지만?가족 입장에서는?너무 걱정이 됩니다. 폐쇄병동에서도?다른 환자들과?생활하는데. 낯선?사람들에 대해?경계심이 높고 무서워하는 성향을 가진 환자가?잘 버틸 수 있을지?너무 걱정됩니다. 보호자 입장으로서 제 걱정이 기우인지요.그리고?조현증상이지만?다른?질병 때문에?조현증상이?나타나는지. 이런 정밀검사도 입원하고 다 시행되는지 궁금합니다.?사진_픽셀?,http://www.psychiatricnews.net//news/articleView.html?idxno=15666
752,"?안녕하세요. 저는 현재 이혼 소송 중이고?배우자 측에서 아이 키우고 있는 상황입니다. 이혼 소송을 시작한 지 벌써 7개월이 지났습니다.아이와 주기적으로 면접은 하고 있지만. 평소에도 같이 살 때처럼 아이와 전화나 문자 등 연락을 자주 하고 싶은데?아이의 태도에도 점차 변화가 오는 게 느껴집니다. 처음엔 배우자와 그 가족들의 눈치 때문에 전화 통화하는 것조차 눈치를 보게 되었습니다. 그래도 내가 노력하면 괜찮아지리라 생각했지요.하지만 남자아이이고. 저와 떨어져 지내는 시간이 점차 길어지니까 딱히 연락해도 별로 할 말도 없고 즐겁지 않은 것 같아요. 저는 당연히 아이의 매일이 궁금하고. 사소한 이야기라도 정말 하고 싶고 듣고 싶은데 아이를 생각하면 전화나 문자 보내기가 솔직히 눈치가 보이네요.문자를 보내도 항상 대답은 그냥 ""네"" 정도가 다거든요. 내색하진 않지만 내심 서운해지기도 해요. 제 입장에서 저는 정말 아이들에게 최선을 다했다고 생각하고. 또한 가정을 지키려고 끝까지 노력을 했지만 상대 배우자에 의해 이런 상황이 되었기 때문에 억울하기도 하고 안타깝네요.사실상 양육권도 배우자에게 유리한 상황입니다. 걱정되는 건 앞으로 시간이 더 지나고 아이들도 학년이 더 올라가고. 사춘기도 오고 하면 점점 더 멀어질 거 같아서 너무 안타깝네요. 아이가 나를 싫어하는 건 아닐까. 그렇게 되지 않을까?오만가지 생각이 다 들어 잠이 오지 않아요.양육자가 정상적인 마음을 가진 사람이라면 아이들이 저와 연락하고 만나도록 지도와 배려를 해줘야 하나. 오히려 연락을 안 하고 만나지도 않았으면 하는 사람이라 제가 어떻게 해야 할지 정말 모르겠습니다. 이런 얘기를 사실상 가사상담시에도 얘기는 했었지만 상대 배우자는 그런 일 없다. 본인도 아이들이 자주 만나고 가까이 지냈으면 좋겠다면서 속에도 없는 말을 하고 있고요.그러나 다른 사람은 몰라도 저는 알 수 있어요. 다른 사람이야 잠깐 주어진 시간 동안 보고 각자의 말을 듣는 게 다니까요. 이중적 태도에 저만 속앓이를 합니다.제가 지금의 상황에서 아이에게 자주 연락하고 하는 게 좋은지 아니면 아이가 별로 내켜하지 않으므로 가끔씩 연락하는 게 좋은지 모르겠습니다. 저는 어떻게 해야 할까요??사진_픽사베이?",http://www.psychiatricnews.net//news/articleView.html?idxno=15654
753,?안녕하세요. 저는 20대 여자입니다. 저에게는 여동생이 있습니다. 그런데 최근 동생과의 관계에 대해 고민이 들어요.동생과 지내면서 제가 힘들 때가 많아요. 동생이?한 번씩?까칠하게 말하거나 짜증을 낼 때가 있는데 저는?그럴 때마다?그냥 참거나?못 본 척?지나가는 편이에요. 저번에 동생이 저에게 짜증을 내길래 말을 해본 적도 있었지만 동생의 성격인지?다음번에?만나도 또 까칠한 말을 하고 저는?내색은?안 하지만?속상해하고 그런 일이 반복되어요. 동생이 그렇게 까칠하게 대할 때면 저는 동생 눈치를 보게 되고 비위를 맞추게 돼요.그런데 점점 힘들어져요. 동생을 멀리하고?싶어 지고?이렇게 계속?상처 받으면서?만나고 싶지 않아요.저에게는 친구가 별로 없는 편입니다. 동생이랑만 만나는 편이에요. 동생과 멀어지면 저는 완전히 혼자가 될 것 같기는 한데 이렇게 계속 힘들어하면서 만나는 건 더 힘들 것 같아요.동생이랑 저는 성향이?다른 것?같기도 해요. 동생은 직설적이고 말을 세게 하는 편이고 저는 그런 성격이 아니에요.성향이 다른 동생과 억지로 맞추면서 지내기보다 멀어지는 게 나을까요? 아니면 저의 성격을 조금 고쳐야 할까요?동생이랑 멀어지고 아예 안 본다고 생각하면 좀 슬퍼지기도 해요. 그간 쌓인 우정이 있고 저에게 많은 도움을 주기도 해서 고맙기도 하거든요.마음이 많이 복잡하네요. 이럴 때는 어떻게 하는 게 좋을까요??사진_픽셀?,http://www.psychiatricnews.net//news/articleView.html?idxno=15550
