순번,질문,답변
47,몇 년째 병원에서 불안(공황)장애 치료를 받고 있습니다. 스스로 노력할 수 있는 방법도 알고 싶어요.,"먼저 장기간 꾸준히 치료를 유지하고 계시는 윤이 님께 응원의 마음을 전합니다. 공황장애를 경험하신 분 중 약물치료로 증상 조절은 어느 정도 되지만 완치되지 않는 상태로 꽤 오랜 기간 생활하시는 경우들을 종종 봅니다. 각자 경험하는 증상에 따라 차이는 있겠지만 불안 및 공황장애에는 신체 증상 긴장감을 줄여주는 이완법과 부정적 사고 불안감을 조절하는 인지행동치료가 많은 도움이 됩니다.
우선 윤이 님의 불안이 올라갔다 내려갈 때 달라지는 신체감각을 잘 관찰하시고 일상생활 속에서 호흡법, 근육 이완법, 명상을 실천해서 수시로 긴장을 풀고 스트레스가 누적되지 않도록 관리해주세요, 불안하면 몸이 경직되듯, 몸이 이완되면 불안도 낮아집니다.
""헬스케어센터는 호흡법 이완법을 쉽게 익힐 수 있는 유도 명상 앱 ‘‘마보"" 이용권을 제공해드리고 있습니다. 무료체험으로 이용해보시고 계속된 이용을 원하시면 헬스케어센터로 문의주세요.""
두 번째 부정적 생각이나 걱정을 하고 있지는 않은지 스스로 점검하고 건강한 방식으로 바꾸어보는 방법입니다. ‘다시 공황이 생기면 진짜 큰일이 날지도 몰라.’라는 생각은 윤이 님의 생활반경을 더 좁게 만들고 방어적으로 만들어 문제해결에서 멀어집니다. ‘공황이 오더라도 미리 익혀둔 호흡법을 활용하면 금방 안정을 찾을 수 있어 너무 걱정하지 말자.’라는 마음으로 윤이 님의 일상을 지키면서 자신감을 찾는 것이 중요합니다.
세 번째 공황을 경험하는 분 중에는 의식하지 못하지만 늘 걱정이나 불안이 많아 긴장된 상태로 살아가는 경우가 많습니다. 흔히 물이 든 컵에 비유합니다. 빈 컵에 물을 조금 붓는 것은 아무런 문제가 되지 않지만 찰랑거릴 정도로 물이 차 있는 컵에는 몇 방울의 물만 더 해도 넘치게 됩니다. 컵에 차 있는 물은 윤이 님의 일상생활에 늘 존재하는 기본적 스트레스이고 물 몇 방울은 아주 사소한 스트레스 사건들이 될 수 있습니다. 그리고 물이 넘지는 그 순간이 바로 심리적 스트레스가 신체로 표현되는 공황 증상입니다.
다른 정신과 질환보다 공황장애는 갑작스러운 신체 증상을 경험하기 때문에 치료 기관을 방문할 가능성이 높습니다. 그래서 공황장애 이면에 있는 불안이나 복합적인 스트레스 성격 문제 다른 심리적 어려움을 발견해 적절한 치료를 시작하게 되는 기회가 될 때도 있습니다.
윤이 님도 증상이 어느 정도 안정되었다면 내 불안과 공황은 어디에서부터 왔는지 잘 살펴보시고 아래의 도서들을 참고하여 자가치료를 시도해보거나, 전문가와 상담을 받아보시면 좋겠습니다.
*추천 도서[호랑이 그림자를 한 고양이(김진관)]
*추천 도서[6주 만에 끝내는 공황장애 치료법(김영화)]
*추천 도서[공황장애 1~3 시리즈(제이콥 정)]"""
48,"20대가 되며 살도 빼고 꾸미면서 생긴 식이장애가 병원 진료도 받고 가족들과 집에 있으면서 많이 괜찮아 졌는데, 스트레스받으면 드물게 식이장애 행동을 할 때가 있어요. 그래도 다시 살도 찌웠고 약물치료도 상담도 다 했어요. 어떻게 하면 완전히 벗어날 수 있을까요?","‘완전히 벗어난다’는 것은 무엇일까요? 알코올 중독으로 치료를 받았던 사람이 두 달에 한 번 있는 친구들 모임에 신이 나서 다음날 숙취가 있을 정도로 술을 마시고 후회를 한다면 다시 중독된 것일까요?_x000D_
만약 그날 이후로 다시 술 생각을 참기 힘들어 혼자서도 과음하고 일상생활에 문제가 생기기 시작한다면 다시 중독치료를 받는 것이 필요할 것입니다. 그런데 재발도 걱정되고 괜히 술자리에 나갔다는 후회도 하고 건강도 다시 쟁기다가 다른 즐거운 술자리에서 ‘지난번에 힘들었으니까 반병만 마시자’라고 생각해 스스로 정한 기준을 지킬 수 있었다면 큰 문제가 아닙니다. 다음날 예상과 달리 컨디션이 좋지 않아 속이 상하더라도 자신이 결정한 대로 행동하는 것이 불가능한 것은 아니었으니까요. 다음 술자리에서는 더 잘 조절할 수 있을 것입니다. 중요한 것은 ‘내 감정과 신체를 잘 다루고 있는가?’ 입니다. 윤이 님은 일상의 기분을 잘 유지하고 있나요? 어려움이 생겼을 때는 어떻게 해결하고 계시는가요? 자신의 신체를 바라보는 방식은 적절한가요?_x000D_
‘구토로 불편해지고 싶지 않다’는 수준에서 나아가 ‘내가 인생에서 무엇을 원하는지’를 잘 알아야 합니다. 윤이 님이 어떨 때 자신감을 느끼는지 가깝고 중요한 사람과의 관계에서 어떤 느낌으로 불편해지는지 알아갈 수 있으면 좋겠습니다. ‘가끔의 스트레스’가 어떤 것이 원인인지 이것을 해결하는 다른 방법들은 없을지 알아보시기 바랍니다."
49,비판과 충고를 잘 받아들이지 못하는 성격의 경우 가스라이팅과 조언을 어떻게 구분할 수 있나요?,"예전 알 쓸 심 집에서 한번 다루었던 주제네요. 궁금증이 다 해결되지 않으신 것 같아 다시 정리해보고자 합니다.
가스라이팅이라는 용어는 영화 ""Gas Light’'에서 유래되었는데 간단한 내용은 이렇습니다. 남편은 부인의 재산을 가로채기 위해 일부러 집안의 가스등을 어둡게 만들고 ‘어둡지 않냐' 묻는 부인을 예민한 사람으로 만들어 질타합니다. 반복되는 상황 속에서 부인은 점점 자신의 판단을 의심하게 되고 남편을 의존하게 됩니다.
""가스라이팅
타인의 심리 상황 등을 교묘하게 조작해 현실감과 판단력을 잃게 하고 자신을 의심하게 만들어 가해자의 지배력을 강화하고 피해자를 통제해 심리적 실리적 이득을 얻으려 하는 행위""
비판·중고·조언은 다른 의미라 구별해야 하지만 무엇이든 듣게 되면 기분이 썩 좋진 않습니다. 왜냐하면 우리는 스스로가 세운 기준과 기대치를 충족시키기 위해 살아가고 있는데 이런 메시지는 우리의 자아와 정체성을 위협하는 것처럼 인식되기 때문입니다. 따라서 본능적인 방어 자세를 취하게 되는데요. 첫 번째, 흘려듣거나 적당히 무시하는 방법을 씁니다. 두 번째, 본인의 잘못은 생각하지 않고 남 탓을 합니다. ‘‘뭐 이런 것까지 다 신경을 써? 자기 일이나 잘하지!” 혹은 ‘‘아니 꼼꼼하게 일할 시간을 줘야 제대로 해오지!”라고 하면서요.
어쩌면 비판과 중고 조언을 잘 받아들이지 못하는 스스로 ‘‘멘탈이 약해’’라고 할 수도 있겠습니다. 세 번째 방법은 자신의 감정이나 의견이 충분히 받아들여지는 경험 많든 작든 상관없이 느끼는 성공감과 성취감 여부 등이 쌓여 만들어지는 자존감과 영향이 있습니다. 건강한 자존감을 가지고 있는 이들은 가혹한 비판에 무너지더라도 자존감을 자양분 삼아 다시 일어나 비판의 내용 중 받아들일 것과 흘려버릴 것을 챙겨갈 수 있게 됩니다. 쉬운 일은 아니지만, 부단히 연습하여 사용하길 추천해 드립니다.
마지막으로 가스라이팅과 조언을 구별하는 방법에 대한 질문은 답변하기 꽤 어려운 문제입니다. 갈등은 주로 사람과 사람 간의 관계가 형성되었기 때문에 발생하는데 관계가 있다면 어떤 것이든 영향을 주고받을 수밖에 없습니다. 연애할 때도 서로의 세계를 맞춰가는 과정이 있고 동료나 상사와의 관계에서도 서로의 업무적 기대를 채워 나가는 과정이 있습니다. 그 속에서 ”이래라저래라’’의 지시와 조언 비판이 생기고 ”이랬으면 저랬으면’’ 같은 충족되지 않은 바람이 생기게 됩니다.
여기서 잘 생각해봅시다. 만약 제가 연인이나 상사의 행동 중 바꾸고 싶은 것이 있어 여러 차례 상대방의 잘못을 얘기하여 사과를 받고 그 행동을 못 하도록 하였다면 이것은 ”가스라이팅’'일까요, 아니면 ""조언'일까요? 결과적으로 상대방을 통제하였음에도 선뜻 대답하기 어려운 이유는 무엇일까요?
[나도 내가 왜 이러는지 모르겠어]라는 책을 참고해보면 관계 속에서 상대방의 마음과 자신의 마음이 구분되지 않고 경계가 제대로 지어지지 않아, 상대방의 마음을 자신의 것인 양 받아들였기 때문이라고 합니다.
상대방의 의도를 제대로 판단하지 못하고 자신의 마음에 어떠한지 알아보지 못해 메시지 그대로 자신의 탓으로 받아들이고 점점 상대의 통제대로 흘러가게 된다면 이는 조언과 거리가 먼 상태가 되는 것이죠.
만약 윤이 님께서 상대의 말로 인한 아픔과 다양한 감정들을 마주 보고 판단하고 구분할 수 있게 된다면 상대방의 조언을 하든, 가스라이팅을 하든 상관없이 자아와 정체성을 지키고 한 발 성장하게 될 것입니다.
""""함께 생각해봅시다
1. 상대의 말에 지금 이 감정이 왜 드는지?
2. 상대방은 무슨 말을 하고 싶었던 것인지?
상대방의 말을 어떻게 해석해서 어디까지 받아들일 것인지?""""
*추천 도서[나도 내가 왜 이러는지 모르겠어(김총기)]
*참고자료 BBC, Robert Nash & Naomi Winstone. """"Why even the bes feedback can bring out the worst in us"""" https://www.bbc.com/future/article/20170308-why-even-the-best-feedback-can-bring-out-the-worst-in-us"""
50,"5년 동안 키웠던 강아지가 무지개다리를 건넜어요. 못 해준 것만 생각나고, 너무 슬픈데.. 강아지인데 너무? 유난이라고 할까 봐 사람들 앞에서 슬픈 티도 잘 못 내요.? 그렇지만 너무 슬프고 자꾸 생각나고 보고 싶어요.?","우선 슬픔에 잠겨있을 윤이 님께 따뜻한 위로를 전하고 싶습니다. 그리고 강아지가 무지개다리 너머에서 고통 없이 평안하기를 바랍니다. 반려동물을 잃고 깊은 슬픔에 빠지는 것을 흔히 ‘펫로스 증후군’이라고 하지요. 깊은 슬픔과 우울감, 자책감 등으로 일상적인 기쁨을 누리지 못하는 모습을 보일 수 있습니다. 짧으면 1~2개월, 길면 6개월까지 슬픔을 경험할 ?수 있다고 합니다. 다만 6개월 이상 지속되고 일상적인 회복이 되지 않고 있다면 심리치료 등을 고려해보시면 좋겠습니다._x000D_
저는 사람이든 동물이든 나에게 완전한 기쁨을 주던 존재가 떠난 슬픔은 유난이 아니라 ‘그럴 수밖에 없는 슬픔’이라고 봅니다. 소중한 대상을 잃는 것이 얼마나 큰 아픔이고 슬픔인데요. 그리움에 목놓아 울어도 되지 않을까요? ?_x000D_
그런데 자꾸 생각난다는 게 혹시 자책하는 마음인가요? 자신이나 타인을 원망하고 싶은 또는 분노하는 마음 또한 들 수 있습니다. 여러 상반되는 감정들이 올라와도 지금은 다 정상적인 반응입니다. 다만 슬픔과 자책에 너무 매몰되지 않게 해주세요. 반려동물과 함께한 시간 동안 나눈 즐거움에 조금 더 중심을 옮겨주세요. 함께 한 시간의 의미, 강아지 존재가 나에게 준 의미, 행복했던 추억들과 시간을 되짚어 보며 나의 눈물과 슬픔을 이해해 줄 만한 사람들을 찾아 마음을 나누면 어떨까요?_x000D_
또 강아지와 함께한 시간을 기념할 만한 무언가를 해봐도 좋겠습니다. 사진이나 영상을 정리하거나 함께한 의미에 대한 글쓰기를 하는 것, 액자나 키링을 만들어 기념하는 것도 좋은 방법일 듯합니다. ?_x000D_
‘사람이 죽으면 먼저 가 있던 반려동물이 마중 나온다’는 얘기가 있지요. 무지개다리 너머에서 즐겁게 놀고 있다가 다시 만나게 되겠지요. 우리도 그때까지 가끔은 슬프고 그립겠지만, 급하게 잊지 않아도 되니 천천히 떠나보낸 슬픔을 다스려 나가시길 바랍니다."
51,"적극적으로 죽고 싶지는 않은데 살고 싶은 마음도 없어요. ? 더 안 살아도 괜찮을 것 같고, 살 의미도 모르겠어요. ? 그냥 왜 살아야 하는지 잘 모르겠어요. ","""적극적으로 죽음을 갈망하지는 않지만 죽음을 피하려고 노력하고 싶지 않을 정도로 삶의 의미를 모르겠다는 말씀인 것 같습니다. 삶의 의미는 주어지는 것이 아니라 내가 찾아야 알 수 있는 것입니다. ?아기나 어린이는 삶과 죽음의 의미를 잘 이해하지 못합니다. 말을 배우고 상징을 이해하기 시작하면서 조금씩 이해를 넓혀가지요. 유치원생 정도면 죽음을 ‘나이가 들어 사라지는 것’ 정도로 어렴풋이 생각합니다. 10살 정도 되어야 성인과 비슷하게 죽음의 비가역성과 슬픔을 이해하게 됩니다. ?삶의 의미에 대해 생각하는 것은 청소년기에 시작하지만 (나중에 변하더라도) 스스로 만족하는 의미를 찾는 나이는 사람마다 매우 다를 것입니다. 특히나 복잡해진 현대 사회에선 체력만 되면 완성된 어른 대접을 받았던 농경사회보다 더 오랜 시간이 걸릴 것입니다. ?
인간보다 지능이 낮은 동물들은 어떨까요? 쥐를 물속에 넣고 수영을 해도 물 밖으로 나오지 못하게 하면 힘이 남은 상태에서도 수영을 포기하는 경우가 생깁니다. 만약 중간에 꺼내주어 희망이 있다고 여기면 죽기 전까지 더 오래 수영을 한다고 합니다. 즉, 내가 어찌할 수 없고 (helpless), 희망이 없으면(hopeless) 역경을 극복하는 노력을 조기에 포기하기도 합니다. 무리를 짓는 동물은 음식이 부족하고 자신이 늙고 병들어 무리에 도움이 되지 않으면 혼자 떠돌다 죽기도 합니다. 원숭이 정도는 돼야 새끼를 잃은 슬픔과 외부 사건에 의한 스트레스가 심할 때 먹이를 먹지 않고 스스로 죽음을 택하는 것이 가능하다고 합니다. 보통은 새끼를 잃고 슬퍼하지만, 시간이 지나 회복을 하는 편이지만요.
인간과 동물의 경우를 보면 반복적 고통, 먹이의 부족, 외부 사건이 동반된 새끼의 죽음 정도가 아니면 ‘삶의 의미’를 생각하는 것은 청소년기 이후의 인간에게서만 가능한 것 같습니다.
오늘만 편하면 잘 살아가는 동물과 달리 인간은 과거와 미래를 생각하게 되었습니다. 이처럼 고등 지능을 갖게 된 인간은 ‘삶의 의미’라는 것을 생각하게 됩니다. 생명 유지 이상의 것을 고민하게 된 것이죠. 이로 인해 부대원을 살리기 위해 수류탄을 몸으로 덮는 행동이 가능해졌을 것입니다. 단순한 생존 이상의 것을 더 소중하게 여기게 되었으니까요. ? 미래에 무슨 일을 하며, 어떤 사람들과 가치를 느끼며 살아갈 수 있을까? 가능하기는 할까? 먼 미래만 생각하다 보면 정작 ‘삶의 의미’를 찾을 수 있는 현재를 놓치게 되기도 합니다.
크고 작은 일을 시도해보며 내가 추구하는 가치를 찾아야 합니다. 어쩌면 안빈낙도의 삶이 윤이 님께 만족감을 줄 수도 있습니다. 최선을 다해야 후회가 없는 사람도 있습니다. 인생이 흘러가며 가치가 변하기도 합니다.
이 과정을 통해 생존이 아닌 ‘삶의 의미’를 조금씩 찾아갈 수 있게 됩니다. 함께 하는 사람도 중요합니다. 무리를 짓는 동물이 혼자 외롭게 된다거나 반대로 너무 많은 개체가 좁은 공간에 있으면 스트레스를 받습니다. 말로 소통을 하는 인간은 더 크게 느낄 것입니다. ? 이런 과정들을 통해 ‘삶의 의미’가 완전하지 않더라도 ‘계속 탐색해볼 수 있겠구나’라는 생각이 들면 ‘왜 살아야 하는가’에 대한 답이 될 것입니다. 어쩌면 윤이 님께 흥미, 즐거움, 편안함, 따뜻함 등 ‘잃기 싫은 것’이 너무 부족해져서 그런 것은 아닐까요? 현재 부족하더라도 “내 행동으로 인해 변화가 생길 수도 있잖아”라고 생각할수록 도움이 될 것입니다. ?
‘왜 살아야 하는지 모르겠다’는 판단이 “무엇을 시도해도 나아질 가능성이 없다”는 확실한 근거에 의한 것인지 생각해보시면 좋겠습니다. 무언가 시작해볼 수도, 누군가와 즐거운 시간을 가져보려고 시도해볼 수도 있다면, 상담과 약물치료도 ‘시도’의 하나로 생각해볼 ?수 있겠습니다."""
52,갑작스럽게 가족이 죽었습니다. 그런데 별로 슬프지가 ? 않아요. 이렇게 슬프지 않은 제가 정상인가요?,"안녕하세요 윤이 님? 갑작스럽게 가족의 죽음을 맞닥트려 당황스럽기도 하실 것 같습니다. 죽음과 이별 대부분의 감정이 슬픔, 그리움, 아쉬움 등등이지만 종종 전혀 다른 감정을 맞이할 때도 있습니다. 윤이 님에게 어떤 일들이 있었는지, 고인이 된 가족과 어떠한 관계였는지는 알 수 없지만 슬프지 않은 데에는 이유가 있겠지요._x000D_
?당장은 장례를 먼저 치러야 한다는 책임감과 남은 할 일들이 있어 슬픔을 느낄 새가 없었을 수도 있습니다. 가족의 오랜 병환에 지쳐서, 생전 가족들을 너무 힘들게 만들었거나 윤이 님 혹은 가까운 사람들에게 큰 상처를 준 사람이었다면, 아니면 그 외 다른 이유로 가족의 죽음이 다르게 다가올 수도 있습니다. 후련하다고 느끼거나 이제 끝났다는 안도감과 해방감을 느낄 수도 있고, 그다지 슬프지 않아서 눈물이 흐르지 않을 수도 있습니다. ?_x000D_
슬픔의 크기는 사람마다 다르고, 슬픔의 형태도 다르지요. 슬픔의 시기가 다를 수도 있습니다. 지금은 모종의 이유로 슬프지 않을 수도 있지만 오랜 시간이 지난 뒤 문득 그립거나 슬퍼질 수도 있습니다. 그 시기를 누가 알까요? 흘러가는 대로, 윤이 님에게 느껴지는 대로 마주해보시기 바랍니다. 윤이 님께서 타인의 시선이나 자신이 세워 둔 틀로 인해 괴롭지 않으셨으면 좋겠습니다. 그리고 심심한 위로의 마음을 전해드립니다."
53,"죽은 엄마가 원망스러워요. 돌아가시고 나니 원망을? 얘기할 수도 없고, 그렇다고 용서가 되지도 않아요. ? 나한테 왜 그랬을까 생각나고, 어떤 날은 그래도 엄만데? 내가 잘못하고 있나 죄책감도 들고 복잡합니다.","안녕하세요 윤이 님. 짧은 글이나마 담겨있는 복잡하고 막막한 감정들이 느껴집니다. 아마도 어머니와 못다 나눈 이야기들이 남으셨나 봅니다. 어떤 이야기들이 어머니와 윤이 님 사이에 있었는지는 알지 못하지만, 그때 어머니가 나에게 왜 그랬을까 원망스러워 밉고 싫은 마음이 들고, 어쩌면 그땐 미처 표현하지 못했던 마음을 지금이라도 말해보고 따지고 소리도 질러보고 싶으실 것 같습니다. 이런 마음의 한편으론 살아계셨으면 싸우기라도 하고 변명이라도 들을 텐데.. 하는 아쉬움과 답답함이 있으실 것 같습니다. 그러나 현실로 돌아오면 상대할 수 없는 대상이 되었기 때문에 아직 남은 윤이 님의 감정이 갈 길을 잃어 무력함을 느낄 수도 있고, 그런 대상을 아직 미워한다는 죄책감과 불편함이 있으실 것입니다. 이런 복잡한 마음이 얼마나 무거우실까요.._x000D_
나를 낳아주고 생존시켜준 존재이며 나의 엄마라는 사실과 동시에, 나에게 상처를 입히고 사라진 존재라는 사실은 너무나 상반되는 마음을 우리에게 줍니다. 이를 “양가감정”이라고 하는데, 모든 사람이 가지고 있지만 가지길 부담스러워합니다. 왜냐하면 우리는 가족을 미워하면 안 되는 존재라고 생각하는데, 살다 보면 밉기도, 싫기도 하고, 공격성마저 불러일으키는 존재가 되어 “미워하면 안 된다”는 금기를 위협하기 때문이죠. ?_x000D_
모든 존재가 나에게 이로울 수만은 없습니다. 받아들이기 쉽지 않지만 살다 보니 소중한 존재에게서 받는 상처도 경험하게 되고, 심지어 가족, 연인 등 신뢰의 대상이기도 하죠. 어머니가 윤이 님께 충분한 애착을 주지 못했거나 안전한 기지가 되어주지 못했을 수도 있습니다. 양육방식에서의 압력으로 자유가 제한되었거나, 힘의 차이로 주눅 들게 만들었을 수도 있습니다. 어떤 이유든 상처받은 윤이 님의 마음은 지금-현재에 있는 것이죠. ? 복잡한 마음을 가만히 들여다보고 거부하지 말고 ‘느낄 수 있음 직한 마음’이라 인정하며? 바라봐주세요. 용서가 늦어져도 되고, 미움이 길어져도 됩니다. 다만 윤이 님이 보다 나은? 현재를 누리기 위해서는 자신의 감정을 부인하지 않는 것이 중요합니다. 윤이 님의 마음을 글로 정리해보시면 정리하는 데 도움이 될 것입니다. ▼ 아래처럼요 ▼?_x000D_
“엄마한테 받은 상처가 크지. 그렇다고 매번 미웠던 건 아니지만. 가족여행 갔을 때나, 소풍 가는 날 아침 일찍 일어나 싸준 김밥도 맛있었고, 좋았던 기억들도 있지. 그래서 마냥 화를 낼 수도 없었고, 무섭기도 했었고..  그래서 지금 더 답답하고 괴로운 것 같다. 남들처럼 좋기만 한 엄마였으면 좋았을 텐데 이미 돌아가신 분을 계속 미워하기도 마음이 힘들고.. 그래도 당분간은 조금만 더 미워하고 싶어. 내 마음이 아직은.. 아직은 힘들고 아프니까 용서가 쉽지 않아. ”"
54,"3년 연애했던 연인이 다른 사람과 걸쳐서 환승이별을? 당했어요. 결혼하자는 얘기도 해왔고 진지하게 만났었는데, 어떻게 이럴 수 있을까요? 충격적이에요. ?","얼마나 큰 충격이고 마음이 아팠을지, 어려운 고민을 나누어 주셔서 고맙습니다. 말씀하신 것처럼 모든 사람이 만나고 헤어지는 일을 겪지만, 나에게 일어난다면 그 특별함이 더 크게 와닿지요. 특히나 3년이라는 기간 동안 믿음을 쌓은 사람이 갑자기 돌아서는 일을 과연 누가 담담한 마음으로 받아들일 수 있을까요. ?
이별은 어렵고 고통스럽습니다. 감정뿐 아니라 부교감신경계에 영향을 미쳐 실제 통증을 느끼게 한다는 연구도 있지요. 특히 환승이별은 일반적 형태의 이별보다 더 크고 다양한 감정을 경험하게 했을 것입니다. 상실감이나 배신감 외에도 상대의 선택에 의해 자신의 잘못이 아님에도 이별을 받아들여야 하는 상황에서 아직 나의 감정은 상대를 향하고 있음에 혼란스러울 수도 있습니다. 또한 관계 회복에 대한 기대를 하기도 어렵고, 관계 전반에 대한 불신을 갖게 될 수도 있습니다.
어떤 사람들은 감정을 해결하고 상황을 이해하기 위해 이유나 원인을 찾고, 앞으로 같은 일이 일어나 상처받지 않기 위해 무엇을 해야 하는 지에 집착하게 됩니다. 좋았던 추억들을 어떻게 기억해야 할지에 대한 혼란도 여전할 것이고, 혹시나 하는 마음에 SNS를 찾아보며 나와 달리 행복해 보이는 상대에 대해 또다시 상처를 받고, 억울하고 힘든 마음을 달래지 못해 일상이 유지되지 않고 우울감에 빠지는 등 여러 어려움이 발생하기도 합니다.
갑작스러운 큰 고통에 힘든 시간을 보내고 계실 윤이 님이 걱정됩니다. 어느 때이든 윤이 님은 소중한 존재이며, 존중받아 마땅한 사람임을 잊지 마시고, 상대의 행동이 나의 가치를 흔들지 않도록 자신의 마음을 정돈하고 건강하게 돌볼 수 있길 바랍니다.
1. 이별했다는 사실과 이로 인해 힘든 자신을 받아들이고 인정해주세요. ?
이별로 인한 감정을 충분히 해소하고 진정시키는 시간이 필요합니다. 이별 후의 슬픈 감정은 자연스러운 것이지만, 부정적인 생각이 또 다른 부정적 생각을 이끌어 과하게 슬퍼하고 더 많이 괴로워하기 쉽습니다. 상대나 자신을 비난하고, 이별의 순간을 곱씹으며 반복된 생각과 감정의 고리에 빠지지 않도록 감정을 해소하고, 부정적 생각을 반복하지 않도록 도와주세요. 반복된 생각을 속으로 곱씹지 않도록 공책에 생각을 적어두고, 감정을 충분히 표현하고 감정을 해소할 만한 즐겁고, 안정적인 일들을 해보세요.
2. 상황을 객관적으로 돌아보고 그동안의 연애가 어땠는지, 내가 가진 연애관은 어떤지, 관계가 끝난 이유를 생각해보고, 이별을 받아들일 수 있게 도와주세요.
현재 상황에서 윤이 님이 원하는 것이 무엇인지, 그동안의 관계에서 내가 이 연애를 어떻게 여겨왔는지, 이러한 상황이 벌어지기까지의 과정이 어떠했는지 돌아보세요. 연애와 이별에서 상대의 책임과 나의 책임을 나누어보고, 확실히 연애 관계가 끝났다면 이를 인정하는 시간을 가져주세요.
3. 현재의 일상을 살아가며 혼자서도 잘 지낼 수 있는 나의 모습을 찾아주세요. ?
상대의 흔적을 정리하고, 상대의 소식이나 SNS를 찾아보지 않도록 하세요. 오랫동안 공유한 만큼 빈자리가 클 것입니다. 익숙하지 않은 면이 있겠지만 혼자의 일상을 보내고, 하고 싶었던 일을 하며 자신의 감정과 만족을 채워 가보세요.
추운 겨울을 지나며 소중한 당신이 마음의 상처를 회복하고 행복하게 지내시길 바랍니다."""
55,대학원 2년 차 입니다. 교수님께서 이직하신다는 소식을? 갑자기 들어 어쩔 줄 모르겠습니다. 아직 다른 말씀은  ? 없으시고 저는 여기 남아서 졸업할 생각인데.. 앞으로? 어떻게 하면 좋을까요?,"윤이 님의 마음을 정말 많이 공감합니다. 저도 그런 경험이 있었고 그 얘기를 들을 당시 교수님에 대한 서운함이나 앞으로의 미래에 대한 걱정으로 마음이 아주 힘들었던 게 생각나네요._x000D_
?새로운 지도교수님을 찾았나요? 여러 가지를 고려해서 새로운 교수님과 연락하기도 쉽지 않은 문제더라고요. 게다가 새로운 교수님을 만나도 이미 친하게 지내고 있는 사람들 사이에서 새롭게 적응하는 것도 그렇고요. 또 연구 주제도 교수님이 바뀌면서 조금씩 달라지기도 하고요. 내 미래와 관련된 일이다 보니 정말 고민할 일이 많을 거 같아요. 마냥 충격적인 마음만 안고 가만히 있을 수 있는 것도 아니고, 여러 선택을 하느라 마음이 급했을 것도 같아요. 지금 일이 손에 잡히지 않는 건 이런 복잡한 내 마음들이 정리되지 않아서가 아닐까요? ?_x000D_
정리하기까지 시간이 조금 필요할 것입니다. 걱정스러운 미래도 앞으로 적응해야 할 것들도 해야 할 일들도 차분히 정리하고, 그것들이 정리된 후에는 이제 내 마음을 다독여 줄 시간을 가져보세요. 놀라진 않았는지, 교수님에 대한 마음은 어떤지, 지금 내 불안함은 어떻게 느껴지고 있는지 등등 혼자 생각하다 힘들면 친구들이랑 실컷 얘기해서 풀어보세요~! ?_x000D_
필요하다면 교수님 욕도 실컷 하세요~! 그래야 조금 마음이 풀리면서 교수님과 정리해야 할 일들이나 받아야 할 것들을 편한 마음으로 말씀드릴 수 있더라고요.?_x000D_
새로운 교수님과 새로운 시작을 응원합니다!"
56,"건강을 늘 자신했었습니다만 최근 받은 건강검진에서 ? 정밀검사를 해보라는 통보를 받았고, 검사를 해보니까? 면역 관련 질환으로 평생 관리해야 한다고 합니다. ? 큰 병은 아니지만, 일상에서 할 수 있는 것들이 많이 줄어? 들었고 제가 병을 가졌다니 뭔가 기분도 이상해요.","건강검진은 받을 때마다 ‘별일 없을 거야!’라고 생각하지만 ‘혹시나….’ 하는 떨리는 마음은 어쩔 수 없는 것 같습니다. 그러다 어떤 병명이라도 내 앞에 떨어지면 더없이 당황스럽기도 할 테고, 크든 작든 놀랄 수밖에 없겠지요. 윤이 님도 면역 관련 질환이라는 진단을 받으시고 게다가 평생 관리를 해야 한다는 소견도 들으셨으니 얼마나 놀라셨을까요.. ?_x000D_
요즘 윤이 님의 삶의 모습이 어떨지 궁금합니다. Holmes and Rahe의 스트레스 스케일에 따르면 건강상 변화는 직장에서 해고를 당하는 것보다도 충격이 큰 사건에 해당합니다. 자신했던 건강이기에 아무런 제약이 없었던 건강한 시절을 떠나보내야 한다는 슬픔과 허무감을 느끼는 것이 당연합니다. 이런 일이 자신에게 일어난 것에 대한 화나 건강을 더 챙기지 못한 데에 대한 자책도 있겠지요. 그리고 앞으로의 일상에 변화가 생길 수도 있다는 걱정으로 두렵기도 할 것입니다. 이 모든 마음이 드는 것은 당연한 일입니다. 평온한 일상에 장염으로 고통스러워도 하루가 무너지는데, 윤이 님께 일어난 일이 어찌 하루아침에 받아들이고 씩씩하게 마음을 다잡을 수 있겠어요. 당분간은 우리 좀 슬프기도 하고, 화나기도 하는 마음을 그대로 두고 가만히 토닥토닥 두드려주며 가라앉길 기다려보면 어떨까요? ?_x000D_
그리고서 조금 진정이 되면 가까운 사람들에게 이야기하며 충분한 공감도 받아보고, Here and Now에서 현재해야 할 일(병에 대한 이해, 꾸준한 치료 방법, 특별히 관리해야 할 것은 무엇인지 알기) 등에 집중해봅시다. 잘 관리해서 다시 평온한 일상을 누려봅시다. 이전과 조금은 다를 수도 있지만 ‘못하게 된 것’이 아니라 할 수 있는 것이 ‘조금 바뀐 것’이니까요."
